,asi,asi_rolling_average
21.5,86.01511879049676,86.01511879049676
21.533333333333335,81.6414686825054,83.82829373650108
21.55,79.91360691144709,82.52339812814975
21.6,74.73002159827215,80.57505399568035
21.616666666666667,70.35637149028078,78.53131749460043
21.65,69.49244060475162,77.02483801295897
21.716666666666665,65.17278617710583,75.33168775069423
21.733333333333334,64.2548596112311,73.94708423326134
21.75,63.39092872570194,72.77417806575474
21.783333333333335,62.52699784017278,71.74946004319654
21.833333333333332,60.79913606911447,70.7539760455527
21.85,59.07127429805615,69.78041756659466
21.916666666666668,57.34341252699784,68.82372487124105
21.933333333333334,66.03671706263499,68.62465288491205
21.966666666666665,70.35637149028078,68.74010079193663
21.983333333333334,70.35637149028078,68.84111771058313
22.033333333333335,69.49244060475162,67.80845032397407
22.083333333333332,66.03671706263499,66.83315334773218
22.116666666666667,62.52699784017278,65.74649028077754
22.133333333333333,62.52699784017278,64.98380129589633
22.166666666666668,63.39092872570194,64.54846112311016
22.2,64.2548596112311,64.22111231101512
22.266666666666666,64.2548596112311,64.16374190064795
22.283333333333335,60.79913606911447,63.94775917926566
22.316666666666666,60.79913606911447,63.785772138228936
22.35,59.07127429805615,63.569789416846646
22.383333333333333,66.90064794816415,63.95113390928725
